Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | 0.00216     |
|    value_loss           | 66.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -40.7        |
| time/                   |              |
|    fps                  | 519          |
|    iterations           | 162          |
|    time_elapsed         | 638          |
|    total_timesteps      | 331776       |
| train/                  |              |
|    approx_kl            | 0.0138531085 |
|    clip_fraction        | 0.0514       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.651       |
|    explained_variance   | 0.147        |
|    learning_rate        | 0.0003       |
|    loss                 | 25.5         |
|    n_updates            | 1610         |
|    policy_gradient_loss | 0.00146      |
|    value_loss           | 51.6         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -40        |
| time/                   |            |
|    fps                  | 520        |
|    iterations           | 163        |
|    time_elapsed         | 641        |
|    total_timesteps      | 333824     |
| train/                  |            |
|    approx_kl            | 0.01755606 |
|    clip_fraction        | 0.382      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.704     |
|    explained_variance   | 0.0835     |
|    learning_rate        | 0.0003     |
|    loss                 | 37.7       |
|    n_updates            | 1620       |
|    policy_gradient_loss | 0.0173     |
|    value_loss           | 78.9       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -39.2      |
| time/                   |            |
|    fps                  | 520        |
|    iterations           | 164        |
|    time_elapsed         | 645        |
|    total_timesteps      | 335872     |
| train/                  |            |
|    approx_kl            | 0.03200707 |
|    clip_fraction        | 0.609      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.797     |
|    explained_variance   | 0.0535     |
|    learning_rate        | 0.0003     |
|    loss                 | 27.6       |
|    n_updates            | 1630       |
|    policy_gradient_loss | 0.0282     |
|    value_loss           | 52.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -38.2       |
| time/                   |             |
|    fps                  | 521         |
|    iterations           | 165         |
|    time_elapsed         | 648         |
|    total_timesteps      | 337920      |
| train/                  |             |
|    approx_kl            | 0.006963647 |
|    clip_fraction        | 0.434       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.69       |
|    explained_variance   | 0.171       |
